Gene_ID,Corrected p-value,p-value,FCAbsolute,regulation,Symbol,Definition
2710504|208266,0.015639119,0.003956493,3.9518974,up,Dot1l,"Mus musculus DOT1-like, histone H3 methyltransferase (S. cerevisiae) (Dot1l), mRNA."
510082|105847,0.002002198,2.79E-04,3.154034,up,Lmf2,"Mus musculus lipase maturation factor 2 (Lmf2), mRNA."
2810746|14467,0.01510024,0.00379439,3.919148,up,Gbas,"Mus musculus glioblastoma amplified sequence (Gbas), mRNA."
2600424|59010,0.002002198,1.23E-04,86.72491,down,Sqrdl,"Mus musculus sulfide quinone reductase-like (yeast) (Sqrdl), mRNA."
6560341|12514,0.00265002,5.26E-04,19.050276,up,Cd68,"Mus musculus CD68 antigen (Cd68), mRNA."
"1690386,2120187,4210022|239647",0.04887366,0.015054154,4.987215,down,BC038822///Fam113b,"Mus musculus cDNA sequence BC038822 (BC038822), mRNA.///Mus musculus family with sequence similarity 113, member B (Fam113b), mRNA."
"5670465,1010348,4610369,6420577|58998",0.002002198,2.14E-04,4.660648,down,Pvrl3,"Mus musculus poliovirus receptor-related 3 (Pvrl3), transcript variant alpha, mRNA.///Mus musculus poliovirus receptor-related 3 (Pvrl3), transcript variant beta, mRNA.///Mus musculus poliovirus receptor-related 3 (Pvrl3), transcript variant gamma, mRNA."
2260402,0.002002198,6.79E-05,5.416322,up,Ppp1r14b,
6590468,0.016399154,0.004186251,2.3483944,up,C430049K18Rik,
"6130445,7100273,670072|98170",0.008046185,0.001851458,10.44925,up,Tmem132a,"Mus musculus transmembrane protein 132A (Tmem132a), mRNA."
"2900221,4540497,1820538,5810446|20536",0.009501484,0.002237179,3.0947757,up,Slc4a3,"Mus musculus solute carrier family 4 (anion exchanger), member 3 (Slc4a3), mRNA."
4290241|75416,0.002217965,4.32E-04,3.3197076,up,Nol14,"Mus musculus nucleolar protein 14 (Nol14), mRNA."
4640630|668239,5.33E-04,4.63E-06,2.6603398,up,LOC668239,"PREDICTED: Mus musculus similar to Rps13 protein (LOC668239), mRNA."
"6060546,6130008,6370750|78929",0.046054516,0.013996013,3.0514457,up,Polr3h,"Mus musculus polymerase (RNA) III (DNA directed) polypeptide H (Polr3h), mRNA."
1690347,0.04457996,0.013431895,3.7092428,down,9630007E23Rik,
"110500,830601|107586",0.002002198,6.85E-05,5.4583898,up,Ovol2,"Mus musculus ovo-like 2 (Drosophila) (Ovol2), transcript variant B, mRNA.///Mus musculus ovo-like 2 (Drosophila) (Ovol2), transcript variant A, mRNA."
"4640187,3310424|52538",0.00727988,0.001650685,2.8204155,down,Acaa2,"Mus musculus acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) (Acaa2), mRNA.///Mus musculus acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) (Acaa2), nuclear gene encoding mitochondrial protein, mRNA."
"4540639,1440037|28250",2.37E-09,7.53E-13,820.7573,down,Slco1a4,"Mus musculus solute carrier organic anion transporter family, member 1a4 (Slco1a4), mRNA."
"3890397,1230296,6550768|66910",0.024845408,0.006778634,3.6587665,up,Tmem107,"Mus musculus transmembrane protein 107 (Tmem107), transcript variant 1, mRNA.///Mus musculus transmembrane protein 107 (Tmem107), transcript variant 2, mRNA."
7040181|71962,0.003948818,8.23E-04,3.87535,up,2410008K03Rik,"Mus musculus RIKEN cDNA 2410008K03 gene (2410008K03Rik), mRNA."
7040202,8.84E-04,1.05E-05,33.25961,up,Bcl2a1d,
4180292|78372,0.00982023,0.002325298,4.2233324,up,3300001G02Rik,"Mus musculus RIKEN cDNA 3300001G02 gene (3300001G02Rik), mRNA."
6290392|12856,0.002897574,5.80E-04,2.0833318,up,Cox17,"Mus musculus cytochrome c oxidase, subunit XVII assembly protein homolog (yeast) (Cox17), mRNA."
7050047|14132,0.007753953,0.001774345,2.0932553,down,Fcgrt,"Mus musculus Fc receptor, IgG, alpha chain transporter (Fcgrt), mRNA."
"2480075,5720647|78785",2.32E-05,5.49E-08,88.19022,down,Rsnl2///Clip4,"PREDICTED: Mus musculus restin-like 2, transcript variant 3 (Rsnl2), mRNA.///Mus musculus CAP-GLY domain containing linker protein family, member 4 (Clip4), mRNA."
"5390259,60326|20755",0.034886304,0.010088336,2.1846573,up,Sprr2a,"Mus musculus small proline-rich protein 2A (Sprr2a), mRNA."
3400349|56310,0.002002198,2.46E-04,2.3782465,up,Gps2,"Mus musculus G protein pathway suppressor 2 (Gps2), mRNA."
5270592,0.002002198,2.28E-04,2.8643324,up,9830169E20Rik,
5290148|72895,0.031630408,0.009004056,2.625333,up,Setd5,"Mus musculus SET domain containing 5 (Setd5), mRNA."
"2690377,1190343|109054",0.021813076,0.005830156,3.0569634,up,Pfdn4,"Mus musculus prefoldin 4 (Pfdn4), transcript variant 2, mRNA."
6580338|380912,0.022434976,0.006028179,2.8534482,up,Zfp395,"Mus musculus zinc finger protein 395 (Zfp395), mRNA."
"780195,990239,6100392|68777",0.005636791,0.001232306,5.417434,down,Tmem53,"Mus musculus transmembrane protein 53 (Tmem53), mRNA."
"2100608,4120184|13088",0.010684392,0.00256083,167.49529,down,Cyp2b10,"Mus musculus cytochrome P450, family 2, subfamily b, polypeptide 10 (Cyp2b10), transcript variant 2, mRNA."
6940719|21897,0.006557748,0.001470072,42.88156,up,Tlr1,"Mus musculus toll-like receptor 1 (Tlr1), mRNA."
"5260056,1740086|209692",0.017976137,0.004659493,5.1449075,down,Dhtkd1,"Mus musculus dehydrogenase E1 and transketolase domain containing 1 (Dhtkd1), mRNA."
380246,0.013025938,0.003203822,2.1268125,down,5930418K15Rik,
"20494,540491|52615",0.003699463,7.64E-04,2.4422684,up,Suz12,"Mus musculus suppressor of zeste 12 homolog (Drosophila) (Suz12), mRNA."
2970270,0.046732027,0.014257412,2.6244304,down,A430107N12Rik,
3870092|240334,0.020834608,0.005532469,5.730051,up,Pcyox1l,"Mus musculus prenylcysteine oxidase 1 like (Pcyox1l), mRNA."
6450348,0.002002198,3.53E-04,3.0802324,up,1110055N21Rik,
"670482,5870010|434083",0.014916576,0.003740881,1067.0972,down,Mug4///LOC434083,"PREDICTED: Mus musculus murinoglobulin 4 (Mug4), misc RNA.///PREDICTED: Mus musculus similar to Murinoglobulin-1 precursor (MuG1) (LOC434083), mRNA."
1240739|50995,0.005267862,0.001141749,2.7350235,up,Uba2,"Mus musculus ubiquitin-like modifier activating enzyme 2 (Uba2), mRNA."
5270441|74334,0.018339694,0.00477075,2.5547822,down,Ranbp10,"Mus musculus RAN binding protein 10 (Ranbp10), mRNA."
"5560167,1010653,360114|67035",0.008128733,0.001872805,3.1224606,down,Dnajb4,"Mus musculus DnaJ (Hsp40) homolog, subfamily B, member 4 (Dnajb4), mRNA."
2470220|69833,0.010530347,0.002515683,3.8198059,up,Polr2f,"Mus musculus polymerase (RNA) II (DNA directed) polypeptide F (Polr2f), mRNA."
"2450743,1770463|75400",0.041395303,0.012338236,8.168369,down,Defb29,"Mus musculus defensin beta 29 (Defb29), mRNA."
"990468,610100,6840176|54670",0.015900593,0.004036365,4.5212727,down,Atp8b1,"Mus musculus ATPase, class I, type 8B, member 1 (Atp8b1), mRNA."
"5860026,290041,50528|18029",0.002002198,1.51E-04,5.3419194,down,Nfic,"Mus musculus nuclear factor I/C (Nfic), transcript variant 2, mRNA.///Mus musculus nuclear factor I/C (Nfic), transcript variant 1, mRNA."
4760474|56868,0.004883433,0.001045431,5.815745,up,Psg23,"Mus musculus pregnancy-specific glycoprotein 23 (Psg23), mRNA."
"610164,3420736,5050646|75734",0.002002198,1.85E-04,2.8645847,up,Mff,"Mus musculus mitochondrial fission factor (Mff), nuclear gene encoding mitochondrial protein, mRNA."
"6960148,3450452|100737",0.002306048,4.51E-04,7.483364,down,Dcun1d4,"Mus musculus DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) (Dcun1d4), mRNA."
7570551|170728,0.006846003,0.001540869,3.002152,down,Rtn4ip1,"Mus musculus reticulon 4 interacting protein 1 (Rtn4ip1), mRNA."
5090528|56327,0.01335906,0.003295418,9.042266,up,Arl2,"Mus musculus ADP-ribosylation factor-like 2 (Arl2), mRNA."
"1190735,290703|242864",0.045230273,0.013667087,5.085176,up,AB112350///Napepld,"Mus musculus cDNA sequence AB112350 (AB112350), mRNA.///Mus musculus N-acyl phosphatidylethanolamine phospholipase D (Napepld), mRNA."
2070333,0.03535222,0.010247612,17.623623,up,LOC383558,
3440132|100340,3.79E-04,2.69E-06,80.165085,up,Smpdl3b,"Mus musculus sphingomyelin phosphodiesterase, acid-like 3B (Smpdl3b), mRNA."
"3800647,2650204,4040497|27410",0.016693775,0.004278362,3.1267004,down,Abca3,"Mus musculus ATP-binding cassette, sub-family A (ABC1), member 3 (Abca3), transcript variant 1, mRNA.///Mus musculus ATP-binding cassette, sub-family A (ABC1), member 3 (Abca3), transcript variant 2, mRNA."
4610373|15900,0.010479637,0.00250084,2.951022,up,Irf8,"Mus musculus interferon regulatory factor 8 (Irf8), mRNA."
3450600,0.002002198,3.34E-04,132.26114,up,Plk4,
5870044,0.015907502,0.004039117,44.57828,up,1110012N22Rik,
5290343|18171,0.009651251,0.002279423,2.447487,down,Nr1i2,"Mus musculus nuclear receptor subfamily 1, group I, member 2 (Nr1i2), mRNA."
2600541|14651,0.001319179,1.96E-05,6.4002233,down,Hagh,"Mus musculus hydroxyacyl glutathione hydrolase (Hagh), mRNA."
"7330379,5720615|14710",0.00466839,9.93E-04,3.1156435,up,Gngt2,"Mus musculus guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 (Gngt2), transcript variant 2, mRNA.///Mus musculus guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 (Gngt2), transcript variant 1, mRNA."
"1510209,5900593|19260",0.014128565,0.003513851,13.079125,up,Ptpn22,"Mus musculus protein tyrosine phosphatase, non-receptor type 22 (lymphoid) (Ptpn22), mRNA."
"7200524,2260072,5490379|19049",0.010841612,0.002603216,9.598834,down,Ppp1r1b,"Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 1B (Ppp1r1b), mRNA."
6900296|14534,0.042087022,0.012575217,3.027703,up,Kat2a,"Mus musculus K(lysine) acetyltransferase 2A (Kat2a), transcript variant 2, mRNA."
1710136,0.042104416,0.012582481,3.5593576,down,9626100_224,
"160703,1410450|21853",0.002002198,4.33E-05,13.13338,up,Timeless,"Mus musculus timeless homolog (Drosophila) (Timeless), transcript variant 2, mRNA."
60544|231834,0.002002198,8.50E-05,2.786523,up,Snx8,"Mus musculus sorting nexin 8 (Snx8), mRNA."
4900184|71766,0.002002198,5.43E-05,6.130272,up,Raver1,"Mus musculus ribonucleoprotein, PTB-binding 1 (Raver1), mRNA."
4810402|230558,0.002002198,1.23E-04,16.041409,down,C8a,"Mus musculus complement component 8, alpha polypeptide (C8a), mRNA."
1770717|18636,0.007856849,0.001801754,3.5115287,up,Cfp,"Mus musculus complement factor properdin (Cfp), mRNA."
3290347,0.046368714,0.014119742,4.7505264,down,B230205M18,
1980465,0.002439326,4.80E-04,2.4660532,down,5730478M09Rik,
2450343,0.011593103,0.002808813,29.707504,down,Hpgd,
"4920441,2760136|353170",0.002002198,5.10E-05,5.6591077,down,4932441K18Rik,"Mus musculus RIKEN cDNA 4932441K18 gene (4932441K18Rik), mRNA."
7330152|432879,0.002002198,2.71E-04,63.780933,up,EG432879,"Mus musculus predicted gene, EG432879 (EG432879), mRNA."
3140246,0.048853744,0.015043228,55.007343,up,Pglyrp1,
"2230379,380332|239759",0.00432062,9.10E-04,80.187126,up,Liph,"Mus musculus lipase, member H (Liph), transcript variant 2, mRNA."
510474|16854,0.002002198,4.58E-05,33.595722,up,Lgals3,"Mus musculus lectin, galactose binding, soluble 3 (Lgals3), mRNA."
5550671|17067,0.002002198,2.39E-04,11.579792,up,Ly6c1,"Mus musculus lymphocyte antigen 6 complex, locus C1 (Ly6c1), mRNA."
"1090326,1660181,940731|18519",0.049941283,0.015440232,7.336019,down,Kat2b,"Mus musculus K(lysine) acetyltransferase 2B (Kat2b), mRNA."
"2760689,150750,380678|107568",0.004415884,9.33E-04,3.186075,down,Wwp1,"Mus musculus WW domain containing E3 ubiquitin protein ligase 1 (Wwp1), mRNA."
150609,0.008600409,0.001995408,2.0015,down,2900009I07Rik,
2070520|18102,0.002002198,3.16E-04,2.8961272,up,Nme1,"Mus musculus non-metastatic cells 1, protein (NM23A) expressed in (Nme1), mRNA."
"5690040,5090739|74374",0.014217641,0.003539738,2.1318104,down,Clec16a,"Mus musculus C-type lectin domain family 16, member A (Clec16a), mRNA."
5700575|12122,9.96E-04,1.27E-05,7.4737067,up,Bid,"Mus musculus BH3 interacting domain death agonist (Bid), mRNA."
"4780743,650681|19302",0.002002198,4.21E-05,2.338907,down,Pex2,"Mus musculus peroxisome biogenesis factor 2 (Pex2), mRNA."
"770382,160209|52670",0.01271741,0.003115797,94.67104,down,Cpsf4l,"Mus musculus cleavage and polyadenylation specific factor 4-like (Cpsf4l), transcript variant 2, mRNA.///Mus musculus cleavage and polyadenylation specific factor 4-like (Cpsf4l), transcript variant 1, mRNA."
6900189,0.00148947,2.46E-05,16.862194,up,Iap,
5550072,0.002002198,2.62E-04,2.2851965,up,Dazap1,
"1230292,5690221,5340592,1400707,2710348,4560114,6840192|50780",0.012774265,0.003131944,9.378723,down,Rgs3,"Mus musculus regulator of G-protein signaling 3 (Rgs3), transcript variant 1, mRNA.///Mus musculus regulator of G-protein signaling 3 (Rgs3), transcript variant 2, mRNA.///Mus musculus regulator of G-protein signaling 3 (Rgs3), transcript variant 3, mRNA."
770593|58875,0.002002198,1.46E-04,2.3774688,down,Hibadh,"Mus musculus 3-hydroxyisobutyrate dehydrogenase (Hibadh), mRNA."
1570670,0.002002198,2.17E-04,2.4360156,up,Zfp639,
"1110273,6110152|53605",0.00591758,0.00130311,4.523115,up,Nap1l1,"Mus musculus nucleosome assembly protein 1-like 1 (Nap1l1), mRNA."
5130438|544817,0.002002198,1.90E-04,73.83652,up,Arhgap27,"Mus musculus Rho GTPase activating protein 27 (Arhgap27), transcript variant 1, mRNA."
3850239|77407,0.001710997,3.05E-05,2.0624547,up,Rab35,"Mus musculus RAB35, member RAS oncogene family (Rab35), mRNA."
"2570068,1190719|229445",0.015788475,0.004002043,18.009024,down,Ctso,"Mus musculus cathepsin O (Ctso), mRNA."
3520491|13850,0.002002198,5.57E-05,7.898544,down,Ephx2,"Mus musculus epoxide hydrolase 2, cytoplasmic (Ephx2), mRNA."
"7550059,7330333|76884",0.006064421,0.001340885,98.67605,up,Cyfip2,"Mus musculus cytoplasmic FMR1 interacting protein 2 (Cyfip2), mRNA."
5870441,0.035755392,0.010382066,2.2409532,down,Cyhr1,
"6620685,6560326|56048",0.002002198,2.84E-04,3.8345895,down,Lgals8,"Mus musculus lectin, galactose binding, soluble 8 (Lgals8), mRNA."
4540019|100047752,0.040974133,0.012199664,14.272517,down,LOC100047752,"PREDICTED: Mus musculus hypothetical protein LOC100047752 (LOC100047752), mRNA."
1690039|53607,0.020121813,0.005308847,2.4449048,up,Snrpa,"Mus musculus small nuclear ribonucleoprotein polypeptide A (Snrpa), transcript variant 2, mRNA."
"6020301,1050475|27357",0.002002198,1.26E-04,2.7633684,up,Gyg,"Mus musculus glycogenin (Gyg), mRNA."
6180519,0.006477755,0.001448017,7.2174697,up,LOC216674,
1070326,0.0058249,0.001279837,7.438701,down,LOC272714,
"4290487,1410189|56150",0.002002198,1.85E-04,19.439928,up,Mad2l1,"Mus musculus MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast) (Mad2l1), mRNA."
2570564|15384,0.002002198,9.82E-05,2.095721,up,Hnrnpab,"Mus musculus heterogeneous nuclear ribonucleoprotein A/B (Hnrnpab), transcript variant 1, mRNA."
"2570674,5220672|210029",0.03272686,0.009358782,8.207721,up,Metrnl,"Mus musculus meteorin, glial cell differentiation regulator-like (Metrnl), mRNA."
2710020,0.032893293,0.009416843,2.6459227,down,Tpmt,
2360722|231368,5.69E-05,1.63E-07,4.0101233,up,LOC231368,"PREDICTED: Mus musculus similar to 60S acidic ribosomal protein P0 (L10E) (LOC231368), mRNA."
1770349,0.002002198,6.12E-05,174.0183,up,Zfp276,
6450086,0.025090378,0.006858535,3.3343875,up,Mybbp1a,
1010215,0.001114164,1.50E-05,11.45093,down,4932433F15Rik,
"5290379,1440605,6330364|320940",0.010579611,0.002529594,28.299147,down,Atp11c,"Mus musculus ATPase, class VI, type 11C (Atp11c), transcript variant 1, mRNA.///Mus musculus ATPase, class VI, type 11C (Atp11c), transcript variant 2, mRNA."
3440746,0.006373772,0.001419611,7.877205,up,D330014H01Rik,
"6520674,240669|15974",0.013001878,0.003196776,2.1002655,up,Ifnab,"Mus musculus interferon alpha B (Ifnab), mRNA."
7510577,0.002002198,8.50E-05,16.351133,down,9530077A17Rik,
7320301|56530,0.019987283,0.00526815,2.0019755,down,Cnpy2,"Mus musculus canopy 2 homolog (zebrafish) (Cnpy2), mRNA."
3130707,0.002002198,2.46E-04,18.275587,up,Pdgfb,
2690259,0.003215129,6.52E-04,6.1701035,up,Wbp5,
"7200333,6180678,1190193|110006",0.002002198,1.41E-04,2.4820342,up,Gusb,"Mus musculus glucuronidase, beta (Gusb), mRNA."
1400670|231887,0.002236759,4.36E-04,3.165783,up,Pdap1,"Mus musculus PDGFA associated protein 1 (Pdap1), mRNA."
"1090273,3930152|20388",0.004018735,8.39E-04,16.177105,down,Sftpb,"Mus musculus surfactant associated protein B (Sftpb), mRNA."
1170450|20415,4.81E-04,3.96E-06,884.6672,up,Shbg,"Mus musculus sex hormone binding globulin (Shbg), mRNA."
4180437|100047619,0.001694512,2.99E-05,29.621723,up,LOC100047619,"PREDICTED: Mus musculus similar to solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (LOC100047619), misc RNA."
5870470|216445,0.009416777,0.002215055,20.665865,up,Arhgap9,"Mus musculus Rho GTPase activating protein 9 (Arhgap9), mRNA. XM_986639 XM_986675 XM_986715"
